pl_hostname|pl_letter|pl_orbper|pl_tranmid|pl_trandur|st_teff|st_rad|st_mass|st_j|ra|dec|pl_rade|pl_radeerr1|pl_radeerr2|pl_ratdor|pl_rvamp|pl_masse|pl_masseerr1|pl_masseerr2|pl_ratror|pl_imppar|st_dist|st_disterr1|st_disterr2|pl_tranflag
Kepler-178|b|9.57669400|2455009.681270|0.1407000|5676.00|1.07||13.280|287.101089|46.896477|2.900|1.250|-1.250|||||||0.4900||||1
Kepler-178|c|20.55280200|2454978.026340|0.0919000|5676.00|1.07||13.280|287.101089|46.896477|2.880|1.230|-1.230|||||||0.3700||||1
Kepler-179|b|2.73592600|2455004.093820|0.0828000|5302.00|0.76||13.278|298.663735|47.762043|1.640|0.680|-0.680|||||||0.5700||||1
Kepler-179|c|6.40013000|2455007.023430|0.0768000|5302.00|0.76||13.278|298.663735|47.762043|2.000|0.810|-0.810|||||||0.0300||||1
Kepler-180|b|13.81712400|2454968.040280|0.1558000|5731.00|1.06|0.84|13.057|295.571343|49.774586|1.500|0.670|-0.670|||||||0.1800||||1
Kepler-180|c|41.88577500|2455011.687030|0.2600000|5731.00|1.06|0.84|13.057|295.571343|49.774586|3.010|1.340|-1.340|||||||0.7500||||1
Kepler-181|b|3.13787300|2454966.555620|0.0787000|5333.00|0.75||13.364|296.151402|50.095806|1.270|0.620|-0.620|||||||0.1600||||1
Kepler-181|c|4.30214900|2455006.437170|0.0819000|5333.00|0.75||13.364|296.151402|50.095806|1.990|0.980|-0.980|||||||0.0500||||1
Kepler-182|b|9.82579200|2454964.424140|0.2067000|6250.00|1.15|1.14|13.836|289.830114|50.586246|2.580|1.180|-1.180|||||||0.6800||||1
Kepler-182|c|20.68434200|2455003.188190|0.2673000|6250.00|1.15|1.14|13.836|289.830114|50.586246|3.430|1.530|-1.530|||||||0.2900||||1
Kepler-183|b|5.68794500|2454966.956340|0.0922000|5888.00|0.96||13.726|293.530848|39.315898|2.060|0.890|-0.890|||||||0.2500||||1
