pl_hostname|pl_letter|pl_orbper|pl_tranmid|pl_trandur|st_teff|st_rad|st_mass|st_j|ra|dec|pl_rade|pl_radeerr1|pl_radeerr2|pl_ratdor|pl_rvamp|pl_masse|pl_masseerr1|pl_masseerr2|pl_ratror|pl_imppar|st_dist|st_disterr1|st_disterr2|pl_tranflag
Kepler-392|b|5.34185300|2454969.301410|0.1268000|5938.00|1.13|1.13|12.414|288.660765|43.368084|1.000|0.210|-0.210|||||||0.2400||||1
Kepler-1541|b|8.40691199|2454966.426870|0.0782710|5282.00|0.81|0.86|12.451|283.787004|48.029564|1.160|0.100|-0.080||||||0.01286||414.00|30.62|-25.13|1
Kepler-1542|b|3.95116882|2454967.221780|0.1079830|5564.00|0.99|0.94|11.421|285.728495|42.654530|0.760|0.110|-0.080||||||0.00728||336.00|45.17|-31.30|1
Kepler-1542|c|2.89223021|2454965.864650|0.1086300|5564.00|0.99|0.94|11.421|285.728495|42.654530|0.650|0.090|-0.060||||||0.00637||336.00|45.17|-31.30|1
Kepler-1542|d|5.99273738|2454964.748640|0.1061920|5564.00|0.99|0.94|11.421|285.728495|42.654530|0.870|0.120|-0.090||||||0.00795||336.00|45.17|-31.30|1
Kepler-1542|e|5.10115756|2454965.423780|0.1089600|5564.00|0.99|0.94|11.421|285.728495|42.654530|0.760|0.100|-0.080||||||0.00727||336.00|45.17|-31.30|1
Kepler-1543|b|6.96710269|2454971.241520|0.1517900|6561.00|1.65|1.39|12.538|297.124312|47.037025|2.710|1.210|-0.510||||||0.01456||1114.00|484.77|-206.54|1
Kepler-1544|b|168.81117400|2455044.440850|0.2710000|4886.00|0.74|0.81|12.480|297.284990|49.212456|1.780|0.090|-0.070||||||0.02198||349.00|9.58|-10.02|1
Kepler-1545|b|163.69234900|2455071.766520|0.2856700|5201.00|0.80|0.84|13.643|298.898763|47.463093|2.700|0.220|-0.180||||||0.03120||688.00|45.58|-43.69|1
Kepler-1546|b|19.59749710|2454968.254700|0.1695400|5623.00|0.93|0.95|14.025|297.583942|41.541227|3.130|0.580|-0.340||||||0.03059||994.00|200.50|-111.52|1
Kepler-1547|b|0.69297968|2454964.800100|0.0450800|6078.00|1.18|1.12|12.332|283.764074|42.222172|0.900|0.280|-0.120||||||0.00733||665.00|204.08|-83.13|1
Kepler-1549|b|214.88654500|2455046.387000|0.4212000|5324.00|0.84|0.88|13.791|286.052426|39.096053|2.570|0.220|-0.200||||||0.02833||792.00|68.31|-49.50|1
Kepler-1550|b|225.58280900|2455105.798030|0.4658700|5991.00|1.11|1.07|13.812|287.764560|38.294704|3.020|0.710|-0.380||||||0.02534||1202.00|285.84|-154.28|1
Kepler-1551|b|24.49736980|2454966.923070|0.2117100|6136.00|1.22|1.14|14.100|295.785514|39.907921|2.660|0.910|-0.420||||||0.02048||1560.00|538.34|-239.75|1
Kepler-1552|b|184.77185300|2455050.361550|0.4044200|5202.00|0.78|0.85|13.504|291.676831|38.874915|2.470|0.110|-0.100||||||0.02929||618.00|19.67|-19.66|1
Kepler-1554|b|198.08877400|2455152.730610|0.3383800|5297.00|0.81|0.84|14.367|286.576164|41.741473|2.900|0.230|-0.270||||||0.03281||982.00|81.12|-75.47|1
Kepler-1555|b|8.10501635|2454968.885230|0.1851200|5866.00|1.06|1.04|14.221|287.635473|45.716061|1.610|0.460|-0.170||||||0.01408||1382.00|390.99|-145.03|1
